Name,Start,Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static,Time(ms),nblock,state,exp,,,,
"test(int, int, int)",1355907662,127905094,1,1,1,1024,1,1,37,304,6352,127.905094,111,307,,,,,
"test(int, int, int)",1355907758,115939270,1,1,1,1024,1,1,37,304,6352,115.93927,112,321,,,,,
"test(int, int, int)",1355907886,137188868,1,1,1,1024,1,1,37,304,6352,137.188868,113,320,,,,,
"test(int, int, int)",1355908014,123180042,1,1,1,1024,1,1,37,304,6352,123.180042,114,308,,,,,
"test(int, int, int)",1355908142,111480832,1,1,1,1024,1,1,37,304,6352,111.480832,115,278,,,,,
"test(int, int, int)",1355908270,126758446,1,1,1,1024,1,1,37,304,6352,126.758446,116,299,,,,,
"test(int, int, int)",1493462309,116366711,1,1,1,1024,1,1,37,304,6352,116.366711,117,232,,,,,
"test(int, int, int)",1493462309,123730551,1,1,1,1024,1,1,37,304,6352,123.730551,118,253,,,,,
"test(int, int, int)",1493462437,116558320,1,1,1,1024,1,1,37,304,6352,116.55832,119,296,,,,,
"test(int, int, int)",1493462693,105885699,1,1,1,1024,1,1,37,304,6352,105.885699,120,299,,,,,
"test(int, int, int)",1493462725,102148133,1,1,1,1024,1,1,37,304,6352,102.148133,121,234,,,,,
"test(int, int, int)",1493463237,109658784,1,1,1,1024,1,1,37,304,6352,109.658784,122,233,,,,,
"test(int, int, int)",1493463397,109749693,1,1,1,1024,1,1,37,304,6352,109.749693,123,262,,,,,
"test(int, int, int)",1493463493,119030778,1,1,1,1024,1,1,37,304,6352,119.030778,124,303,,,,,
"test(int, int, int)",1493463621,99628636,1,1,1,1024,1,1,37,304,6352,99.628636,125,286,,,,,
"test(int, int, int)",1493463717,108995991,1,1,1,1024,1,1,37,304,6352,108.995991,126,322,,,,,
"test(int, int, int)",1493463845,99686106,1,1,1,1024,1,1,37,304,6352,99.686106,127,334,,,,,
"test(int, int, int)",1493463973,117744615,1,1,1,1024,1,1,37,304,6352,117.744615,128,339,,,,,
"test(int, int, int)",1493464069,109569027,1,1,1,1024,1,1,37,304,6352,109.569027,129,340,,,,,
"test(int, int, int)",1617497714,147695831,1,1,1,1024,1,1,37,304,6352,147.695831,130,302,,,,,
"test(int, int, int)",1617497746,150245054,1,1,1,1024,1,1,37,304,6352,150.245054,131,178,,,,,
"test(int, int, int)",1617497842,145301770,1,1,1,1024,1,1,37,304,6352,145.30177,132,253,,,,,
"test(int, int, int)",1617497970,137587670,1,1,1,1024,1,1,37,304,6352,137.58767,133,258,,,,,
"test(int, int, int)",1617497970,139852359,1,1,1,1024,1,1,37,304,6352,139.852359,134,263,,,,,
"test(int, int, int)",1617498130,145182446,1,1,1,1024,1,1,37,304,6352,145.182446,135,252,,,,,
"test(int, int, int)",1617498226,140875203,1,1,1,1024,1,1,37,304,6352,140.875203,136,212,,,,,
"test(int, int, int)",1617498353,142674118,1,1,1,1024,1,1,37,304,6352,142.674118,137,212,,,,,
"test(int, int, int)",1617498481,157366536,1,1,1,1024,1,1,37,304,6352,157.366536,138,326,,,,,
"test(int, int, int)",1617498609,157373415,1,1,1,1024,1,1,37,304,6352,157.373415,139,318,,,,,
"test(int, int, int)",1617498737,150520725,1,1,1,1024,1,1,37,304,6352,150.520725,140,302,,,,,
"test(int, int, int)",1617498833,142870879,1,1,1,1024,1,1,37,304,6352,142.870879,141,322,,,,,
"test(int, int, int)",1617498961,166825311,1,1,1,1024,1,1,37,304,6352,166.825311,142,356,,,,,
"test(int, int, int)",1784632421,135331685,1,1,1,1024,1,1,37,304,6352,135.331685,143,296,,,,,
"test(int, int, int)",1784632421,162883112,1,1,1,1024,1,1,37,304,6352,162.883112,144,302,,,,,
"test(int, int, int)",1784632613,139325850,1,1,1,1024,1,1,37,304,6352,139.32585,145,318,,,,,
"test(int, int, int)",1784633061,140836102,1,1,1,1024,1,1,37,304,6352,140.836102,146,318,,,,,
